loop_cnt,region,inherit,reward,outcome,h,g,f
88044,2,1,0.1,2,8,54,62
88046,3,6,0.1,2,13,49,62
88047,2,1,0.05,1,8,54,62
88049,3,5,0.1,2,12,50,62
88052,1,5,0.1,2,23,39,62
88053,3,3,0.1,2,13,49,62
88057,1,6,0.1,2,26,36,62
88060,3,5,0.1,2,14,48,62
88062,1,3,0.1,2,25,37,62
88063,3,6,0.1,2,14,48,62
88067,1,6,0.1,2,28,34,62
88072,3,6,0.1,2,14,48,62
88074,2,3,0.1,2,9,53,62
88075,1,6,0,0,28,34,62
88076,3,4,0.1,2,12,49,61
88077,0,2,0.1,2,3,59,62
88081,2,3,0.1,2,8,54,62
88082,3,4,0.1,2,14,48,62
88083,0,2,0.1,2,3,59,62
88084,2,2,0.1,2,8,54,62
88086,3,3,0.1,2,13,49,62
88087,0,2,0.1,2,3,59,62
88088,2,3,0.1,2,8,54,62
88089,3,3,0.1,2,12,50,62
88090,0,2,0.1,2,3,59,62
88092,3,4,0.1,2,13,49,62
88093,2,1,0.1,2,8,54,62
88095,0,0,0.1,2,4,58,62
88096,3,4,0.1,2,12,50,62
88097,2,3,0.1,2,8,54,62
88098,0,2,0.1,2,3,59,62
88100,3,3,0.1,2,13,49,62
88101,2,2,0.1,2,9,53,62
88102,0,1,0.1,2,3,59,62
88103,3,4,0.1,2,13,49,62
88108,2,1,0,0,8,54,62
88112,0,1,0,0,3,59,62
88113,3,5,0.1,2,14,47,61
88115,3,6,0.1,2,14,48,62
88120,3,4,0.1,2,12,50,62
88121,3,5,0.1,2,14,48,62
88122,3,6,0.1,2,14,48,62
88124,3,5,0.1,2,12,49,61
88128,3,5,0.1,2,13,48,61
88130,1,5,0.1,2,23,39,62
88132,3,4,0.1,2,13,49,62
88133,1,4,0.1,2,24,38,62
88134,0,1,0.1,2,3,59,62
88136,3,3,0.1,2,12,50,62
88141,2,3,0.1,2,8,54,62
88142,1,3,0.1,2,28,33,61
88144,0,0,0.1,2,4,58,62
88145,3,4,0.1,2,13,49,62
88147,2,1,0.1,2,8,54,62
88150,1,6,0.1,2,28,34,62
88153,3,3,0.1,2,13,49,62
88154,0,2,0.1,2,3,59,62
88156,2,3,0.1,2,8,54,62
88157,1,5,0.1,2,23,39,62
88158,3,5,0.1,2,13,49,62
88160,0,1,0.1,2,3,59,62
88162,1,3,0.1,2,26,36,62
88164,2,1,0.1,2,8,54,62
88165,3,5,0.1,2,13,49,62
88167,0,0,0.1,2,4,58,62
88171,1,3,0.1,2,23,39,62
88173,2,1,0.1,2,8,54,62
88175,3,5,0.1,2,13,49,62
88176,1,5,0.1,2,24,38,62
88178,0,1,0,0,3,59,62
88179,2,3,0.1,2,8,54,62
88180,3,5,0.1,2,13,49,62
88181,1,3,0.1,2,25,37,62
88183,2,1,0.1,2,8,54,62
88184,1,4,0.1,2,23,39,62
88185,3,6,0.1,2,14,48,62
88186,1,6,0.1,2,28,34,62
88187,2,1,0.1,2,9,53,62
88188,3,5,0.1,2,13,48,61
88190,1,6,0,0,27,35,62
88194,3,6,0.1,2,14,48,62
88195,2,1,0.1,2,8,54,62
88196,3,4,0.1,2,13,49,62
88199,2,2,0.1,2,8,54,62
88202,3,5,0.1,2,14,48,62
88203,2,3,0.1,2,8,54,62
88206,3,5,0.1,2,14,48,62
88209,2,2,0.1,2,8,54,62
88211,3,5,0.1,2,14,48,62
88213,0,3,0.1,2,3,59,62
88214,2,2,0.1,2,8,54,62
88215,3,4,0.1,2,12,49,61
88216,0,2,0.1,2,3,59,62
88217,2,3,0,0,8,54,62
88218,3,6,0.1,2,14,48,62
88219,0,2,0.1,2,3,59,62
88230,3,5,0.1,2,13,49,62
88231,0,1,0.1,2,3,59,62
88232,3,6,0.1,2,14,48,62
88233,0,2,0.1,2,3,59,62
88234,3,1,0.1,2,12,50,62
88240,0,1,0,0,3,59,62
88241,3,4,0.1,2,13,49,62
88245,3,5,0.1,2,12,50,62
88249,3,3,0.1,2,12,50,62
88250,3,5,0.1,2,12,50,62
88253,3,3,0.1,2,12,49,61
88258,2,1,0.1,2,8,54,62
88259,3,5,0.1,2,13,49,62
88263,1,3,0.1,2,23,39,62
88264,2,2,0,0,8,54,62
88268,3,5,0.1,2,13,49,62
88271,1,3,0.1,2,23,39,62
88273,1,5,0.1,2,28,34,62
88277,3,5,0.1,2,13,48,61
88282,0,0,0.1,2,3,59,62
88284,1,4,0.1,2,23,39,62
88285,3,5,0.1,2,14,48,62
88288,1,5,0.1,2,28,34,62
88289,0,1,0.1,2,3,59,62
88290,3,6,0.1,2,13,48,61
88291,1,2,0,0,26,36,62
88292,0,2,0.1,2,3,59,62
88296,3,5,0.1,2,14,48,62
88297,3,6,0.1,2,14,48,62
88298,0,2,0.1,2,3,59,62
88299,3,4,0.1,2,14,48,62
88301,0,0,0.1,2,4,58,62
88302,3,2,0.1,2,12,50,62
