reduce_sec,add_K,add_Q,service_time_sec,mu,K,Q,total_cost,rho,throughput,side_buffer_rate,rejected_rate,profit_rate
0,3,1,15,4.0,6,3,16,0.875,3.32150437164618,0.7035746050564564,0.17849562835381996,55.44662174185735
1,1,4,14,4.285714285714286,4,6,15,0.8166666666666667,3.405096904266729,1.2272444364192971,0.0949030957332711,55.43688972198207
0,3,0,15,4.0,6,2,15,0.875,3.2850424285121678,0.5264267056844861,0.21495757148783187,55.04070778013251
2,0,3,13,4.615384615384615,3,5,15,0.7583333333333334,3.399129038354618,1.2469683140580736,0.10087096164538198,54.980705405266306
0,2,10,15,4.0,5,12,20,0.875,3.450310780624469,1.576069831736224,0.049689219375531335,54.90698037733365
1,1,3,14,4.285714285714286,4,5,14,0.8166666666666667,3.3805533103528,1.1420021466796835,0.11944668964720029,54.89164834420252
0,2,9,15,4.0,5,11,19,0.875,3.4423945000496006,1.5411619044393015,0.0576054999503994,54.790429766965616
0,2,8,15,4.0,5,10,18,0.875,3.4330634534193343,1.5000153717598481,0.06693654658066574,54.65304969688793
0,2,7,15,4.0,5,9,17,0.875,3.4220095433843536,1.4512716360877114,0.07799045661564673,54.49030408051598
3,0,0,12,5.0,3,2,18,0.7,3.2999962599917723,0.6938905265591583,0.20000374000822796,54.44868878711534
0,2,6,15,4.0,5,8,16,0.875,3.408836657961492,1.3931839871870655,0.09116334203850816,54.296361000578074
1,1,2,14,4.285714285714286,4,4,13,0.8166666666666667,3.3485708293270893,1.03092387820173,0.15142917067291056,54.18115044074062
0,2,5,15,4.0,5,7,15,0.875,3.393027033928901,1.3234692769640068,0.10697296607109885,54.063597480733
